market_penetration,approval_improvement,addressable_denials,additional_approvals,dollar_value_recovered,avg_cost_per_claim
0.01,0.1,40656.0,4065.6000000000004,5610524.284980799,1379.999086231011
0.01,0.2,40656.0,8131.200000000001,11221048.569961598,1379.999086231011
0.01,0.3,40656.0,12196.8,16831572.854942393,1379.999086231011
0.01,0.5,40656.0,20328.0,28052621.424903993,1379.999086231011
0.02,0.1,81312.0,8131.200000000001,11221048.569961598,1379.999086231011
0.02,0.2,81312.0,16262.400000000001,22442097.139923196,1379.999086231011
0.02,0.3,81312.0,24393.6,33663145.709884785,1379.999086231011
0.02,0.5,81312.0,40656.0,56105242.849807985,1379.999086231011
0.05,0.1,203280.0,20328.0,28052621.424903993,1379.999086231011
0.05,0.2,203280.0,40656.0,56105242.849807985,1379.999086231011
0.05,0.3,203280.0,60984.0,84157864.27471198,1379.999086231011
0.05,0.5,203280.0,101640.0,140263107.12451994,1379.999086231011
0.1,0.1,406560.0,40656.0,56105242.849807985,1379.999086231011
0.1,0.2,406560.0,81312.0,112210485.69961597,1379.999086231011
0.1,0.3,406560.0,121968.0,168315728.54942396,1379.999086231011
0.1,0.5,406560.0,203280.0,280526214.2490399,1379.999086231011
