drug_name,pa_rate,step_therapy_rate,quantity_limit_rate,annual_claims,annual_spend,cost_per_claim,pa_burden_score,n_prescribers,therapeutic_group,therapeutic_subgroup,top_brand,brand_generic_flag,priority_tier,priority_quadrant
Semaglutide,0.9995937849091096,0.0,0.989373505860792,7171085.0,9670618798.11,1348.5572682669358,7168171.997054942,161384.0,Alimentary tract and metabolism,DRUGS USED IN DIABETES,"Ozempic, Rybelsus, Wegovy",Brand,1,Top Priority
Dulaglutide,0.9995872884853488,0.0,0.9919521254643004,4851616.0,6666365125.900001,1374.0504454392103,4849613.682212134,109569.0,Alimentary tract and metabolism,DRUGS USED IN DIABETES,Trulicity,Brand,1,Top Priority
Memantine Hcl,0.8594989747704377,0.0191252643516106,0.4925024771567217,5042907.0,259986842.34999996,51.55495478104196,4334373.396362663,95739.0,Nervous system,PSYCHOANALEPTICS,"Memantine Hcl Er, Namenda, Namenda Xr",Brand,1,Top Priority
Cyclobenzaprine Hcl,0.5359394703657,0.0,0.2491578210930221,5783649.0,63506826.69000001,10.98040816273602,3099685.7818411104,154823.0,Musculo-skeletal system,MUSCLE RELAXANTS,"Amrix, Cyclobenzaprine Hcl Er",Brand,1,Top Priority
Methylprednisolone,0.5841692939715296,0.0,0.0,4357652.0,42496059.330000006,9.752054393053877,2545606.492213624,120107.0,Systemic hormonal preparations,CORTICOSTEROIDS FOR SYSTEMIC USE,,Generic,1,Top Priority
Ondansetron,0.8776233523157182,0.0,0.3079166555890049,2836105.0,48348169.28,17.047383393774208,2489031.97761937,112678.0,Alimentary tract and metabolism,ANTIEMETICS AND ANTINAUSEANTS,Ondansetron Odt,Brand,1,Top Priority
Ondansetron Hcl,0.8776233523157182,0.0,0.3079166555890049,2816054.0,43187753.92999999,15.336266254127226,2471434.751782088,95029.0,Alimentary tract and metabolism,ANTIEMETICS AND ANTINAUSEANTS,,Generic,1,Top Priority
Hydroxyzine Hcl,0.5170801984952778,0.0,0.0,3321511.0,67787713.27,20.40869750845323,1717487.5671842485,109999.0,Nervous system,PSYCHOLEPTICS,,Generic,1,Top Priority
Tirzepatide,0.9995948409750828,0.0,0.9983744241260312,1521598.0,1965517131.54,1291.7453437373076,1520981.5108380038,44382.0,Alimentary tract and metabolism,DRUGS USED IN DIABETES,Mounjaro,Brand,1,Top Priority
Cyclosporine,0.8265316838545714,0.0,0.1381575046147005,1642296.0,1550673258.57,944.2105799259084,1357409.6782676273,37613.0,Antineoplastic and immunomodulating agents,IMMUNOSUPPRESSANTS,"Cequa, Restasis, Restasis Multidose",Brand,1,Top Priority
Evolocumab,0.955798734041412,0.0362677242858275,0.8214961453618219,1187888.0,1031069707.36,867.9856243686273,1135381.8465829848,33229.0,Cardiovascular system,LIPID MODIFYING AGENTS,"Repatha Pushtronex, Repatha Sureclick, Repatha Syringe",Brand,1,Top Priority
Sildenafil Citrate,1.0,0.0,0.6250626670544408,557966.0,31708237.450000003,56.82826095138414,557966.0,20590.0,Genito-urinary system and sex hormones,UROLOGICALS,"Revatio, Viagra",Brand,1,Top Priority
Lidocaine,0.59806801994302,0.0,0.7567015668497021,909369.0,160471991.63999996,176.46521009623152,543864.5172275641,30941.0,Nervous system,ANESTHETICS,"Lidoderm, Ztlido",Brand,1,Top Priority
Adalimumab,0.987380578924854,0.0,0.7738734790063965,545396.0,4884226408.42,8955.376292492061,538513.4182232996,17951.0,Antineoplastic and immunomodulating agents,IMMUNOSUPPRESSANTS,"Humira, Humira Pen, Humira Pen Psor-Uveits-Adol Hs",Brand,1,Top Priority
Promethazine Hcl,0.5338506823655339,0.0,0.0885134540402806,917934.0,11228290.579999996,12.23213278950338,490039.692266524,33871.0,Respiratory system,ANTIHISTAMINES FOR SYSTEMIC USE,Promethegan,Brand,2,Top Priority
Alirocumab,1.0,0.0,0.3674911660777385,448170.0,362488837.42,808.8199509561105,448170.0,14804.0,Cardiovascular system,LIPID MODIFYING AGENTS,Praluent Pen,Brand,2,Top Priority
Liraglutide,0.9985714285714286,0.0,0.8342857142857143,425747.0,617334961.1299999,1450.0042540053128,425138.79,22195.0,Alimentary tract and metabolism,DRUGS USED IN DIABETES,"Victoza 2-Pak, Victoza 3-Pak",Brand,2,Top Priority
Fentanyl,0.554914979757085,0.000123517244534,0.96743518125589,722609.0,80682701.03999999,111.65471373868854,400986.5586072875,23622.0,Nervous system,ANESTHETICS,,Generic,2,Top Priority
Dupilumab,1.0,0.0,0.929683328372208,350986.0,1368118588.69,3897.929229912304,350986.0,14412.0,Dermatologicals,OTHER DERMATOLOGICAL PREPARATIONS in ATC,"Dupixent Pen, Dupixent Syringe",Brand,2,Top Priority
Mycophenolate Mofetil,1.0,0.0,0.0,343190.0,49690992.540000014,144.79149316705036,343190.0,11853.0,,,Cellcept,Brand,2,Top Priority
Tacrolimus,0.8639236869325365,0.0231629310448825,0.0893067846607669,396728.0,84552138.41000003,213.12369787360615,342742.71646937134,11210.0,Antineoplastic and immunomodulating agents,IMMUNOSUPPRESSANTS,"Astagraf Xl, Envarsus Xr, Prograf",Brand,2,Top Priority
Etanercept,0.9791543756145528,0.0,0.944660766961652,332317.0,2552950971.3,7682.276173954386,325389.6446411013,9543.0,Antineoplastic and immunomodulating agents,IMMUNOSUPPRESSANTS,"Enbrel, Enbrel Mini, Enbrel Sureclick",Brand,2,Top Priority
Lenalidomide,0.9779509598935564,0.0,0.94519643336015,292691.0,4816489867.910002,16455.886473823935,286237.44440220494,9045.0,Antineoplastic and immunomodulating agents,IMMUNOSUPPRESSANTS,Revlimid,Brand,2,Top Priority
Azathioprine,1.0,0.0,0.0,258331.0,17517193.200000003,67.8091022757625,258331.0,10473.0,Antineoplastic and immunomodulating agents,IMMUNOSUPPRESSANTS,"Azasan, Imuran",Brand,2,Top Priority
Abiraterone Acetate,0.8359868043602984,0.0,0.7736990036612222,290428.0,807734631.7499999,2781.187184947732,242793.97561675272,6331.0,Antineoplastic and immunomodulating agents,ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Zytiga,Brand,2,Top Priority
Rifaximin,0.9500316255534472,0.0,0.555731291449612,255268.0,716644943.9800001,2807.421784085746,242512.67299177736,9755.0,Alimentary tract and metabolism,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",Xifaxan,Brand,2,Top Priority
Rimegepant Sulfate,0.9720907052080736,0.0,0.9516571143782706,241447.0,347332357.9299999,1438.5449308958068,234708.3845003737,7867.0,Nervous system,ANALGESICS,Nurtec Odt,Brand,2,Top Priority
Tadalafil,1.0,0.0,0.8708605559028317,206672.0,98549711.67000005,476.8411379867618,206672.0,7215.0,Genito-urinary system and sex hormones,UROLOGICALS,"Adcirca, Alyq, Cialis",Brand,2,Top Priority
Modafinil,0.9870104310175164,0.0,0.9490257823263136,196989.0,27939913.249999996,141.83489052688216,194430.19779570957,9142.0,Nervous system,PSYCHOANALEPTICS,Provigil,Brand,2,Top Priority
Budesonide,0.6853163645095449,0.014114541023558,0.4536986487073502,271932.0,77313723.70000002,284.3127094273569,186359.4496338096,13293.0,Alimentary tract and metabolism,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","Budesonide Dr, Budesonide Ec, Budesonide Er",Brand,2,Top Priority
Testosterone,0.555598265957674,0.0,0.4751384694396861,303703.0,70168194.68000002,231.04215197084,168736.86016614348,13511.0,Genito-urinary system and sex hormones,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,"Androderm, Androgel, Fortesta",Brand,2,Top Priority
Enzalutamide,0.9803343166175024,0.0,0.7972468043264503,165326.0,2240072642.96,13549.427452185377,162074.75122910517,5208.0,Antineoplastic and immunomodulating agents,ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Xtandi,Brand,2,Top Priority
Ubrogepant,0.9706529713866472,0.0029347028613352,0.9486426999266324,166206.0,220515138.21,1326.7579883397711,161328.34776228908,5713.0,Nervous system,ANALGESICS,Ubrelvy,Brand,2,Top Priority
Denosumab,0.5764629509412965,0.0559979035131163,0.527881167015073,256048.0,444869751.3,1737.4466947603576,147602.1856626171,8370.0,Musculo-skeletal system,DRUGS FOR TREATMENT OF BONE DISEASES,"Prolia, Xgeva",Brand,2,Top Priority
Apremilast,1.0,0.0,0.9029051794750956,132754.0,640426450.65,4824.159352260572,132754.0,6196.0,Antineoplastic and immunomodulating agents,IMMUNOSUPPRESSANTS,Otezla,Brand,2,Top Priority
Deutetrabenazine,0.9746944276618488,0.0,0.9649323945866698,135031.0,909547831.74,6735.844596722233,131613.9632616071,5576.0,Nervous system,OTHER NERVOUS SYSTEM DRUGS in ATC,"Austedo, Austedo Xr",Brand,2,Top Priority
Ibrutinib,0.9771878072763028,0.0,0.8566371681415929,132259.0,2056621140.4800005,15549.952294210603,129241.88220255652,4909.0,Antineoplastic and immunomodulating agents,ANTINEOPLASTIC AGENTS,Imbruvica,Brand,2,Top Priority
Finerenone,0.5854369575299808,0.0,0.9555028261180888,218073.0,210044304.13000005,963.1834483406936,127667.9936394355,5798.0,Cardiovascular system,DIURETICS,Kerendia,Brand,2,Top Priority
Clobazam,0.9018026876433956,0.0042281219272369,0.8408718452966241,135270.0,46306682.110000014,342.3278044651439,121986.84955752212,3646.0,Nervous system,PSYCHOLEPTICS,"Onfi, Sympazan",Brand,2,Top Priority
Upadacitinib,0.9789410348977136,0.0,0.9512448041558283,119035.0,801815169.1499997,6735.961432771872,116528.24608904934,3620.0,Antineoplastic and immunomodulating agents,IMMUNOSUPPRESSANTS,Rinvoq,Brand,2,Top Priority
Tofacitinib Citrate,0.9980721033352612,0.0,0.9138854410327746,114350.0,678496399.6399999,5933.505899781372,114129.5450163871,4427.0,Antineoplastic and immunomodulating agents,IMMUNOSUPPRESSANTS,"Xeljanz, Xeljanz Xr",Brand,2,Top Priority
Pimavanserin Tartrate,0.9805309734513274,0.0,0.9392330383480826,111094.0,473597546.8,4263.034428501989,108931.10796460178,3908.0,Nervous system,PSYCHOLEPTICS,Nuplazid,Brand,2,Top Priority
Ruxolitinib Phosphate,0.9759746855223064,0.0,0.7992802511447966,108964.0,1618425654.8200002,14852.847314892992,106346.10563325258,4211.0,Antineoplastic and immunomodulating agents,ANTINEOPLASTIC AGENTS,"Jakafi, Opzelura",Brand,2,Top Priority
Palbociclib,0.9803343166175024,0.0,0.9317600786627336,108311.0,1693438330.39,15634.961641846165,106180.99016715828,4134.0,Antineoplastic and immunomodulating agents,ANTINEOPLASTIC AGENTS,Ibrance,Brand,2,Top Priority
Secukinumab,0.9721466940778566,0.0,0.9072219762927076,102203.0,785311477.1700002,7683.839781317576,99356.30857483916,5094.0,Antineoplastic and immunomodulating agents,IMMUNOSUPPRESSANTS,"Cosentyx (2 Syringes), Cosentyx Sensoready (2 Pens), Cosentyx Sensoready Pen",Brand,2,Top Priority
Tretinoin,0.8353976718848558,0.0037268790104731,0.3028315046286644,106739.0,9543938.31,89.41378793130909,89169.51209931762,4948.0,Antineoplastic and immunomodulating agents,ANTINEOPLASTIC AGENTS,"Altreno, Retin-A",Brand,2,Top Priority
Cyproheptadine Hcl,0.7282719316100142,0.0,0.0095231417558393,118960.0,3441060.57,28.92619847007397,86635.22898432729,5292.0,Respiratory system,ANTIHISTAMINES FOR SYSTEMIC USE,,Generic,2,Top Priority
Relugolix,0.9767944936086528,0.0,0.6383480825958702,88443.0,243999254.03000003,2758.830591793585,86390.63539823006,2048.0,Antineoplastic and immunomodulating agents,ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Orgovyx,Brand,2,Top Priority
Teriparatide,0.9751075956729092,0.0,0.7687444761198989,88073.0,348905953.93999994,3961.55409648814,85880.65127370013,3744.0,Systemic hormonal preparations,CALCIUM HOMEOSTASIS,Forteo,Brand,2,Top Priority
Lidocaine Hcl,0.59806801994302,0.0,0.7567015668497021,136418.0,3157887.85,23.148615651893447,81587.2431445869,6310.0,Nervous system,ANESTHETICS,"Dermacinrx Lidogel, Dermacinrx Lidorex, Glydo",Brand,2,Top Priority
